LUC,GCM,RCP,Timestep,Ecosystem,StockGroup,Mean,Lower,Upper
BAU,CanESM2,rcp45,2001,No,Aquatic,0,0,0
BAU,CanESM2,rcp45,2001,No,Atmosphere,0,0,0
BAU,CanESM2,rcp45,2001,No,DOM,0,0,0
BAU,CanESM2,rcp45,2001,No,HAP,0,0,0
BAU,CanESM2,rcp45,2001,No,HWP,0,0,0
BAU,CanESM2,rcp45,2001,No,Live,0,0,0
BAU,CanESM2,rcp45,2001,No,Soil,0,0,0
BAU,CanESM2,rcp45,2001,Yes,DOM,375852.5259054904,375852.5259054904,375852.5259054904
BAU,CanESM2,rcp45,2001,Yes,Live,1804282.7157985102,1804282.7157985102,1804282.7157985102
BAU,CanESM2,rcp45,2001,Yes,Soil,2642995.7735058544,2642995.7735058544,2642995.7735058544
BAU,CanESM2,rcp45,2002,No,Aquatic,2337.5663862161778,2337.5663862151523,2337.566386217224
BAU,CanESM2,rcp45,2002,No,Atmosphere,4782.956594872917,4521.368440887889,5031.619237314446
BAU,CanESM2,rcp45,2002,No,DOM,4.02426384255607,1.903167035141325,7.12353898451577
BAU,CanESM2,rcp45,2002,No,HAP,15359.496801926975,15356.061396234662,15362.411502991123
BAU,CanESM2,rcp45,2002,No,HWP,4885.422462183162,4498.469738725958,5208.758759359664
BAU,CanESM2,rcp45,2002,No,Live,60.48629124959929,46.8834333134992,77.17391348272534
BAU,CanESM2,rcp45,2002,No,Soil,1786.399892381079,1585.5759802289522,2038.7498350894639
BAU,CanESM2,rcp45,2002,Yes,DOM,371499.7571300536,371308.08771661384,371715.9446979071
BAU,CanESM2,rcp45,2002,Yes,Live,1782522.252888236,1782012.12820887,1783199.3386822462
BAU,CanESM2,rcp45,2002,Yes,Soil,2639892.6524984334,2639592.4083239776,2640172.980861474
BAU,CanESM2,rcp45,2003,No,Aquatic,4666.314248161964,4665.832918686615,4666.788697003309
BAU,CanESM2,rcp45,2003,No,Atmosphere,-11745.118808111443,-12079.46655582812,-11380.728343134491
BAU,CanESM2,rcp45,2003,No,DOM,6.49901226921894,3.848448658648125,9.212158321963246
BAU,CanESM2,rcp45,2003,No,HAP,31746.335808630476,31714.66749996923,31776.89708245755
BAU,CanESM2,rcp45,2003,No,HWP,8939.949284047076,8511.562542096537,9457.03924997218
BAU,CanESM2,rcp45,2003,No,Live,87.90646273439327,71.88049702359,108.2074511038766
BAU,CanESM2,rcp45,2003,No,Soil,2802.067627213407,2537.06508818337,3130.849178322859
BAU,CanESM2,rcp45,2003,Yes,DOM,368718.9083641009,368482.03522590746,368974.567875816
BAU,CanESM2,rcp45,2003,Yes,Live,1783101.7835417162,1782261.200521195,1783876.8248676597
BAU,CanESM2,rcp45,2003,Yes,Soil,2634806.369668379,2634364.602627819,2635195.809091633
BAU,CanESM2,rcp45,2004,No,Aquatic,6985.959049425529,6984.787706058447,6986.919430302099
BAU,CanESM2,rcp45,2004,No,Atmosphere,-43936.39080568229,-44387.09824680071,-43490.54170506153
BAU,CanESM2,rcp45,2004,No,DOM,8.92328099280491,5.7904164551187,12.7642166843052
BAU,CanESM2,rcp45,2004,No,HAP,49781.36543256944,49705.82234516977,49853.624001310454
BAU,CanESM2,rcp45,2004,No,HWP,13476.566249220514,12978.986723193599,14019.488500201442
BAU,CanESM2,rcp45,2004,No,Live,115.68313594637723,96.52068046374231,135.83943486739022
BAU,CanESM2,rcp45,2004,No,Soil,3807.5622048918217,3424.608640839515,4222.183292890413
BAU,CanESM2,rcp45,2004,Yes,DOM,373201.3046132322,372970.45649298653,373543.51364352717
BAU,CanESM2,rcp45,2004,Yes,Live,1791039.139648598,1790019.1718148864,1791752.3391927811
BAU,CanESM2,rcp45,2004,Yes,Soil,2628650.9023999227,2628089.1874953564,2629210.4230851876
BAU,CanESM2,rcp45,2005,No,Aquatic,9293.634045471561,9291.771592403515,9295.003204038607
BAU,CanESM2,rcp45,2005,No,Atmosphere,-111152.34044941889,-111692.93664372695,-110581.55369067902
BAU,CanESM2,rcp45,2005,No,DOM,13.63924484125748,9.3681254638649,18.21936931173022
BAU,CanESM2,rcp45,2005,No,HAP,71150.30308994072,71015.3806038165,71285.43070509199
BAU,CanESM2,rcp45,2005,No,HWP,18382.111985664586,17687.137002390315,19349.261329600282
BAU,CanESM2,rcp45,2005,No,Live,148.64489977427905,126.70224293639133,175.42158281397298
BAU,CanESM2,rcp45,2005,No,Soil,4883.312926094256,4485.931491460697,5313.120912082018
BAU,CanESM2,rcp45,2005,Yes,DOM,379469.04128151207,379184.98930766503,379857.1226286874
BAU,CanESM2,rcp45,2005,Yes,Live,1827537.0294455653,1826172.2652853974,1828518.052142439
BAU,CanESM2,rcp45,2005,Yes,Soil,2623405.638739729,2622776.96729147,2624021.2732670614
BAU,CanESM2,rcp45,2006,No,Aquatic,11597.399240310373,11595.148103675236,11599.416326427603
BAU,CanESM2,rcp45,2006,No,Atmosphere,-142557.01078437304,-143254.00085370743,-141945.91460889016
BAU,CanESM2,rcp45,2006,No,DOM,19.15265216878221,13.887610147102276,24.477812492768926
BAU,CanESM2,rcp45,2006,No,HAP,91428.70466656938,91221.92651906313,91636.21793489938
BAU,CanESM2,rcp45,2006,No,HWP,22649.616149423182,21967.768935343465,23648.62914769447
BAU,CanESM2,rcp45,2006,No,Live,180.89516372291683,155.684256407256,206.11714565997636
BAU,CanESM2,rcp45,2006,No,Soil,5993.588401521237,5446.822968597575,6494.190592761587
BAU,CanESM2,rcp45,2006,Yes,DOM,386368.48248245794,386027.15417225234,386813.81444438733
BAU,CanESM2,rcp45,2006,Yes,Live,1826299.2870338245,1824755.7968022823,1827397.3965797736
BAU,CanESM2,rcp45,2006,Yes,Soil,2621150.900203801,2620450.9490198432,2621890.464795639
BAU,CanESM2,rcp45,2007,No,Aquatic,13895.701581387455,13892.942662757301,13898.448134868115
BAU,CanESM2,rcp45,2007,No,Atmosphere,-112885.68115310531,-113622.0746002261,-112178.6747426475
BAU,CanESM2,rcp45,2007,No,DOM,25.98023359858075,20.174474165167247,31.558033087387273
BAU,CanESM2,rcp45,2007,No,HAP,105027.36407832014,104757.83252041263,105277.39444518618
BAU,CanESM2,rcp45,2007,No,HWP,27101.80423134042,26252.03354449301,28115.051779420235
BAU,CanESM2,rcp45,2007,No,Live,201.84011273525724,177.56417885031294,227.49779028162436
BAU,CanESM2,rcp45,2007,No,Soil,6888.263268493358,6337.339519201313,7402.95116517813
BAU,CanESM2,rcp45,2007,Yes,DOM,387856.3843890442,387493.8958041553,388275.9999933871
BAU,CanESM2,rcp45,2007,Yes,Live,1775280.472526239,1773367.649582705,1776521.833601505
BAU,CanESM2,rcp45,2007,Yes,Soil,2619738.8859412926,2619057.0416041696,2620540.166023294
BAU,CanESM2,rcp45,2008,No,Aquatic,16189.484897356297,16186.413685514108,16192.387669895208
BAU,CanESM2,rcp45,2008,No,Atmosphere,-107077.45173256616,-107995.92047091114,-106092.04597039356
BAU,CanESM2,rcp45,2008,No,DOM,31.86184113660597,25.358036933431222,38.63662321292155
BAU,CanESM2,rcp45,2008,No,HAP,119439.7524268682,119090.95917457112,119750.37792137128
BAU,CanESM2,rcp45,2008,No,HWP,33347.406115020334,32623.989005168405,34389.07894075755
BAU,CanESM2,rcp45,2008,No,Live,224.50757425681337,199.387284771975,251.81182667509887
BAU,CanESM2,rcp45,2008,No,Soil,7781.652111602716,7186.6867450492355,8386.033472578285
