LUC,GCM,RCP,Timestep,LULC,Mean,Lower,Upper
BAU,CanESM2,rcp45,2001,Agriculture,45660,45660,45660
BAU,CanESM2,rcp45,2001,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2001,Developed,23263,23263,23263
BAU,CanESM2,rcp45,2001,Forest,156191,156191,156191
BAU,CanESM2,rcp45,2001,Grassland,46293,46293,46293
BAU,CanESM2,rcp45,2001,Shrubland,111792,111792,111792
BAU,CanESM2,rcp45,2001,SnowIce,28,28,28
BAU,CanESM2,rcp45,2001,Water,18655,18655,18655
BAU,CanESM2,rcp45,2001,Wetland,2775,2775,2775
BAU,CanESM2,rcp45,2002,Agriculture,45640.05,45592.850000000006,45678.675
BAU,CanESM2,rcp45,2002,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2002,Developed,23621.96,23588.949999999997,23658
BAU,CanESM2,rcp45,2002,Forest,156115.07,156093.95,156137.09999999998
BAU,CanESM2,rcp45,2002,Grassland,46120.67,46092,46153.524999999994
BAU,CanESM2,rcp45,2002,Shrubland,111712.95,111691.425,111735
BAU,CanESM2,rcp45,2002,SnowIce,28,28,28
BAU,CanESM2,rcp45,2002,Water,18655,18655,18655
BAU,CanESM2,rcp45,2002,Wetland,2763.3,2753.4750000000004,2774
BAU,CanESM2,rcp45,2003,Agriculture,45564.63,45506.425,45619.575
BAU,CanESM2,rcp45,2003,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2003,Developed,23839.75,23783,23886.05
BAU,CanESM2,rcp45,2003,Forest,156089.33,156066.425,156121.675
BAU,CanESM2,rcp45,2003,Grassland,46052.67,46016.475,46095.525
BAU,CanESM2,rcp45,2003,Shrubland,111668.93,111645.475,111695.525
BAU,CanESM2,rcp45,2003,SnowIce,28,28,28
BAU,CanESM2,rcp45,2003,Water,18655,18655,18655
BAU,CanESM2,rcp45,2003,Wetland,2758.69,2743.4750000000004,2771.5249999999996
BAU,CanESM2,rcp45,2004,Agriculture,45495.34,45431,45558.1
BAU,CanESM2,rcp45,2004,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2004,Developed,24055.77,23993,24117.675
BAU,CanESM2,rcp45,2004,Forest,156062.06,156033.47499999998,156100.34999999998
BAU,CanESM2,rcp45,2004,Grassland,45982.58,45936.475,46028
BAU,CanESM2,rcp45,2004,Shrubland,111624.58,111600,111653.525
BAU,CanESM2,rcp45,2004,SnowIce,28,28,28
BAU,CanESM2,rcp45,2004,Water,18655,18655,18655
BAU,CanESM2,rcp45,2004,Wetland,2753.67,2738.95,2770
BAU,CanESM2,rcp45,2005,Agriculture,45410.62,45334.225,45504.5
BAU,CanESM2,rcp45,2005,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2005,Developed,24282.11,24220.9,24345
BAU,CanESM2,rcp45,2005,Forest,156040.07,156013,156078.525
BAU,CanESM2,rcp45,2005,Grassland,45903.42,45842.425,45956.575
BAU,CanESM2,rcp45,2005,Shrubland,111586.08,111554.95000000001,111623.625
BAU,CanESM2,rcp45,2005,SnowIce,28,28,28
BAU,CanESM2,rcp45,2005,Water,18655,18655,18655
BAU,CanESM2,rcp45,2005,Wetland,2751.7,2731.95,2769.5249999999996
BAU,CanESM2,rcp45,2006,Agriculture,45327.5,45228.425,45413.575
BAU,CanESM2,rcp45,2006,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2006,Developed,24510.25,24439.425,24584.625
BAU,CanESM2,rcp45,2006,Forest,156017.78,155986.47499999998,156065.625
BAU,CanESM2,rcp45,2006,Grassland,45823.29,45750.475000000006,45893.05
BAU,CanESM2,rcp45,2006,Shrubland,111545.1,111506.425,111580.15
BAU,CanESM2,rcp45,2006,SnowIce,28,28,28
BAU,CanESM2,rcp45,2006,Water,18655,18655,18655
BAU,CanESM2,rcp45,2006,Wetland,2750.08,2727.9,2769.05
BAU,CanESM2,rcp45,2007,Agriculture,45196.35,45080.850000000006,45315.1
BAU,CanESM2,rcp45,2007,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2007,Developed,24673.9,24587.85,24746.1
BAU,CanESM2,rcp45,2007,Forest,156006,155977.95,156054.52500000002
BAU,CanESM2,rcp45,2007,Grassland,45844.12,45774.475,45916.725
BAU,CanESM2,rcp45,2007,Shrubland,111503.48,111455.325,111544.04999999999
BAU,CanESM2,rcp45,2007,SnowIce,28,28,28
BAU,CanESM2,rcp45,2007,Water,18655,18655,18655
BAU,CanESM2,rcp45,2007,Wetland,2750.15,2723.95,2770.525
BAU,CanESM2,rcp45,2008,Agriculture,45066.89,44952,45168
BAU,CanESM2,rcp45,2008,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2008,Developed,24837.1,24765,24920.625
BAU,CanESM2,rcp45,2008,Forest,155991.21,155953.90000000002,156043
BAU,CanESM2,rcp45,2008,Grassland,45867.87,45789.95,45941.05
BAU,CanESM2,rcp45,2008,Shrubland,111459.86,111417.95,111508
BAU,CanESM2,rcp45,2008,SnowIce,28,28,28
BAU,CanESM2,rcp45,2008,Water,18655,18655,18655
BAU,CanESM2,rcp45,2008,Wetland,2751.07,2724.475,2773
BAU,CanESM2,rcp45,2009,Agriculture,44968.5,44864.325,45106.2
BAU,CanESM2,rcp45,2009,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2009,Developed,24941.29,24868.949999999997,25017.35
BAU,CanESM2,rcp45,2009,Forest,155976.98,155940.8,156026.2
BAU,CanESM2,rcp45,2009,Grassland,45888.8,45803.95,45976.05
BAU,CanESM2,rcp45,2009,Shrubland,111448.14,111406,111498.625
BAU,CanESM2,rcp45,2009,SnowIce,28,28,28
BAU,CanESM2,rcp45,2009,Water,18655,18655,18655
BAU,CanESM2,rcp45,2009,Wetland,2750.29,2721,2774
BAU,CanESM2,rcp45,2010,Agriculture,44877.54,44768.325,45000
BAU,CanESM2,rcp45,2010,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2010,Developed,25044.31,24968,25126.775
BAU,CanESM2,rcp45,2010,Forest,155962.54,155925.84999999998,156009.52500000002
BAU,CanESM2,rcp45,2010,Grassland,45903.09,45835.475000000006,45979.825
BAU,CanESM2,rcp45,2010,Shrubland,111437.85,111391.325,111490.1
BAU,CanESM2,rcp45,2010,SnowIce,28,28,28
BAU,CanESM2,rcp45,2010,Water,18655,18655,18655
BAU,CanESM2,rcp45,2010,Wetland,2748.67,2718,2775
BAU,CanESM2,rcp45,2011,Agriculture,44807.26,44688.075,44936.15
BAU,CanESM2,rcp45,2011,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2011,Developed,25118.1,25034.95,25197.775
BAU,CanESM2,rcp45,2011,Forest,155955.71,155916.95,156003
BAU,CanESM2,rcp45,2011,Grassland,45920.17,45845.95,45999.825
BAU,CanESM2,rcp45,2011,Shrubland,111428.15,111378.32500000001,111478.2
BAU,CanESM2,rcp45,2011,SnowIce,28,28,28
BAU,CanESM2,rcp45,2011,Water,18655,18655,18655
BAU,CanESM2,rcp45,2011,Wetland,2744.61,2716.4750000000004,2773.1
BAU,CanESM2,rcp45,2012,Agriculture,44735.73,44608.525,44857.15
BAU,CanESM2,rcp45,2012,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2012,Developed,25192.09,25108,25273
BAU,CanESM2,rcp45,2012,Forest,155947.78,155907,156004.05
BAU,CanESM2,rcp45,2012,Grassland,45938.13,45864,46028.575
BAU,CanESM2,rcp45,2012,Shrubland,111418.37,111364.475,111469.775
BAU,CanESM2,rcp45,2012,SnowIce,28,28,28
BAU,CanESM2,rcp45,2012,Water,18655,18655,18655
BAU,CanESM2,rcp45,2012,Wetland,2741.9,2714,2769.575
BAU,CanESM2,rcp45,2013,Agriculture,44670.73,44527.125,44830.725
BAU,CanESM2,rcp45,2013,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2013,Developed,25378.06,25230,25586.05
BAU,CanESM2,rcp45,2013,Forest,155917.64,155839.8,155973.1
BAU,CanESM2,rcp45,2013,Grassland,45890.44,45743.625,46055.1
BAU,CanESM2,rcp45,2013,Shrubland,111377.9,111297.375,111448.525
BAU,CanESM2,rcp45,2013,SnowIce,28,28,28
BAU,CanESM2,rcp45,2013,Water,18655,18655,18655
BAU,CanESM2,rcp45,2013,Wetland,2739.23,2699.475,2773.05
BAU,CanESM2,rcp45,2014,Agriculture,44624.7,44426.85,44836.05
BAU,CanESM2,rcp45,2014,Barren,19155,19155,19155
BAU,CanESM2,rcp45,2014,Developed,25571.66,25372.25,25811.3
BAU,CanESM2,rcp45,2014,Forest,155882.93,155796.425,155951.575
BAU,CanESM2,rcp45,2014,Grassland,45824.04,45592.274999999994,45996.05
BAU,CanESM2,rcp45,2014,Shrubland,111335.33,111235.225,111418.575
BAU,CanESM2,rcp45,2014,SnowIce,28,28,28
BAU,CanESM2,rcp45,2014,Water,18655,18655,18655
BAU,CanESM2,rcp45,2014,Wetland,2735.34,2694,2771.05
BAU,CanESM2,rcp45,2015,Agriculture,44571.77,44361.7,44794.575
BAU,CanESM2,rcp45,2015,Barren,19155,19155,19155
